"TIPO_VIVIENDA","VALOR_VIVIENDA","PATRIMONIO","NACIONALIDAD","IMPORTE","CUOTA","INGRESOS","SALDO","EDAD","ESTADO_CIVIL","CLASE"
"Propiedad hipotecada",150000,0,"Español",9000,174,18992,820,42,"Soltero","SI"
"Alquiler",0,0,"Español",2000,62,25500,0,51,"Soltero","NO"
"Alquiler",0,0,"Extranjero",11000,213,14184,32369,46,"Casado","SI"
"Propiedad hipotecada",150000,0,"Español",12000,202,8000,97,30,"Casado","SI"
"Propiedad hipotecada",39000,0,"Español",6000,117,NA,558,36,"Casado","SI"
"Vive con la familia",0,0,"Español",10000,193,11200,17902,30,"Soltero","SI"
"Propiedad hipotecada",16994,72575,"Español",4800,94,31431,2339,36,"Casado","SI"
"Propiedad hipotecada",170000,0,"Español",16500,270,19069,1075,50,"Casado","SI"
"Propiedad libre",36000,30000,"Español",20000,317,12489,875,40,"Casado","SI"
"Propiedad hipotecada",150000,0,"Español",15000,290,NA,448,33,"Casado","SI"
"Alquiler",0,0,"Español",13000,254,22834,152,51,"Casado","SI"
"Propiedad libre",125000,0,"Español",10600,202,13177,240,80,"Casado","SI"
"Propiedad hipotecada",180000,10000,"Español",10000,165,33600,655,57,"Separado","SI"
"Propiedad libre",72000,0,"Español",8000,158,17265,448,71,"Casado","SI"
"Propiedad hipotecada",72000,0,"Español",30000,380,12100,2118,33,"Casado","SI"
"Propiedad libre",80000,20000,"Español",6000,119,29383,2464,66,"Casado","SI"
"Propiedad hipotecada",180000,0,"Español",6000,114,24780,490,42,"Casado","SI"
"Propiedad hipotecada",76000,0,"Español",18000,263,27471,2215,41,"Casado","SI"
"Propiedad libre",75000,15000,"Español",6000,119,27000,147,54,"Casado","SI"
"Otros",0,0,"Extranjero",3000,134,10920,0,28,"Soltero","NO"
"Otros",0,0,"Español",15000,287,15200,1183,41,"Soltero","SI"
"Propiedad hipotecada",240000,0,"Español",6000,119,12001,712,31,"Casado","SI"
"Propiedad hipotecada",34000,10000,"Español",30000,492,13414,9225,35,"Soltero","SI"
"Propiedad libre",40000,0,"Español",6000,97,13000,99,66,"Casado","SI"
"Propiedad hipotecada",51453,30000,"Español",16000,306,13480,4029,41,"Casado","SI"
"Propiedad hipotecada",16000,7800,"Español",16000,265,16375,4448,50,"Casado","SI"
"Alquiler",0,0,"Español",10000,195,17472,1815,35,"Soltero","SI"
